,unit,file_count,filename
0,01-Intro,16,1-1CW_Measurement.tex
1,01-Intro,16,1-1DNQ_Distance+slope.tex
2,01-Intro,16,1-1DN_Algebra.tex
3,01-Intro,16,1-1HW_Algebra.tex
4,01-Intro,16,1-3DN_Function-intercepts.tex
5,01-Intro,16,1-3HW_Equilateral-triangle.tex
6,01-Intro,16,1-4HW-Intro.tex
7,01-Intro,16,1-4HW_Segment-addition.tex
8,01-Intro,16,1-5CW_Angle-terminology.tex
9,01-Intro,16,1-5HW_Pretest-segments-intro.tex
10,01-Intro,16,1-6DN_Angle-pairs.tex
11,01-Intro,16,1-6HW_Angle-pairs.tex
12,01-Intro,16,1-7Exam-Intro.tex
13,01-Intro,16,1-7Exam-corrections.tex
14,01-Intro,16,1-7Exam-spicy.tex
15,01-Intro,16,1-7HW_Calculations.tex
16,02-Midpoint+distance,18,2-1DN_Exam-review.tex
17,02-Midpoint+distance,18,2-2HW_Midpoint-calcs.tex
18,02-Midpoint+distance,18,2-3DN_Midpoint+rectangles.tex
19,02-Midpoint+distance,18,2-3HW_Triangle-area.tex
20,02-Midpoint+distance,18,2-4DN_Triangle-area.tex
21,02-Midpoint+distance,18,2-4HW_Parameter-solving.tex
22,02-Midpoint+distance,18,2-5DNQ_Segments+area.tex
23,02-Midpoint+distance,18,2-5HW_Perimeter.tex
24,02-Midpoint+distance,18,2-6DN_Distance+Perimeter.tex
25,02-Midpoint+distance,18,2-6HW_Compound-shapes.tex
26,02-Midpoint+distance,18,2-7CW_Modeling.tex
27,02-Midpoint+distance,18,2-7DNRQ_Segments+area.tex
28,02-Midpoint+distance,18,2-7DN_Compound-areas+perimeters.tex
29,02-Midpoint+distance,18,2-7Pretest_areas+numberlines.tex
30,02-Midpoint+distance,18,2-8DN_Constructions.tex
31,02-Midpoint+distance,18,2-8HW_Parameter-solving.tex
32,02-Midpoint+distance,18,2-9Exam_area-distance.tex
33,02-Midpoint+distance,18,2-9HW_Calculations.tex
34,03-Volume+angle-bisectors,12,3-1DN_Angle-terminology.tex
35,03-Volume+angle-bisectors,12,3-1HW_Volume+vertical-angles.tex
36,03-Volume+angle-bisectors,12,3-2CW_Angle-modeling.tex
37,03-Volume+angle-bisectors,12,3-2DN_Area+volume.tex
38,03-Volume+angle-bisectors,12,3-2HW_Segments+area.tex
