problem_ID,problem_set_ID,question,filename,q_len
1000,73,"\newpage
",6-10bCW_Dilation.tex,9
758,56,"\newpage
",5-11Exam_Transformations.tex,9
2301,162,"\newpage
",9-8bDN-Similarity-review.tex,9
762,56,"\newpage
",5-11Exam_Transformations.tex,9
766,56,"\newpage
",5-11Exam_Transformations.tex,9
1705,120,"\newpage
",7-8bDN_Exam-followup.tex,9
769,56,"\newpage
",5-11Exam_Transformations.tex,9
772,56,"\newpage
",5-11Exam_Transformations.tex,9
1699,119,"\newpage
",7-8HW_Right-triangle-ratios.tex,9
776,56,"\newpage
",5-11Exam_Transformations.tex,9
1697,119,"\newpage
",7-8HW_Right-triangle-ratios.tex,9
780,56,"\newpage
",5-11Exam_Transformations.tex,9
1694,119,"\newpage
",7-8HW_Right-triangle-ratios.tex,9
783,56,"\newpage
",5-11Exam_Transformations.tex,9
786,56,"\newpage
",5-11Exam_Transformations.tex,9
2295,161,"\newpage
",9-8DN-Similarity-review.tex,9
1709,121,"\newpage
",7-8bHW_Constructions.tex,9
754,56,"\newpage
",5-11Exam_Transformations.tex,9
750,56,"\newpage
",5-11Exam_Transformations.tex,9
1714,122,"\newpage
",7-9CW_Constructions.tex,9
688,50,"\newpage
",4-7CW-construction-dupe.tex,9
1743,126,"\newpage
",8-12DN_Compound-volume.tex,9
696,51,"\newpage
",4-7CW-construction.tex,9
1740,126,"\newpage
",8-12DN_Compound-volume.tex,9
1736,126,"\newpage
",8-12DN_Compound-volume.tex,9
1730,125,"\newpage
",8-11DN_Compound-area.tex,9
2057,143,"\newpage
",8-7bPreExam_Area+volume.tex,9
792,57,"\newpage
",5-11bExam_Transformations.tex,9
1726,124,"\newpage
",8-11CW_Tank-volume.tex,9
727,54,"\newpage
",5-10DN_Composition.tex,9
2312,162,"\newpage
",9-8bDN-Similarity-review.tex,9
1721,123,"\newpage
",7-9DN_Analytic-proof.tex,9
2308,162,"\newpage
",9-8bDN-Similarity-review.tex,9
740,55,"\newpage
",5-10bDN_Composition.tex,9
1716,122,"\newpage
",7-9CW_Constructions.tex,9
2304,162,"\newpage
",9-8bDN-Similarity-review.tex,9
2061,143,"\newpage
",8-7bPreExam_Area+volume.tex,9
1688,118,"\newpage
",7-8DN_Exam-followup.tex,9
1685,118,"\newpage
",7-8DN_Exam-followup.tex,9
799,57,"\newpage
",5-11bExam_Transformations.tex,9
841,61,"\newpage
",5-3DN_area-units.tex,9
846,61,"\newpage
",5-3DN_area-units.tex,9
1650,116,"\newpage
",7-7Exam-Similarity.tex,9
2084,144,"\newpage
",8-8Exam_Area+volume.tex,9
853,62,"\newpage
",5-4DN-similarity-ratios.tex,9
1646,116,"\newpage
",7-7Exam-Similarity.tex,9
1642,116,"\newpage
",7-7Exam-Similarity.tex,9
2281,161,"\newpage
",9-8DN-Similarity-review.tex,9
1638,116,"\newpage
",7-7Exam-Similarity.tex,9
1626,116,"\newpage
",7-7Exam-Similarity.tex,9
880,67,"\newpage
",5-8DN-similarity-ratios.tex,9
1622,116,"\newpage
",7-7Exam-Similarity.tex,9
883,67,"\newpage
",5-8DN-similarity-ratios.tex,9
2275,160,"\newpage
",9-7CW-Similarity-review.tex,9
886,67,"\newpage
",5-8DN-similarity-ratios.tex,9
1620,116,"\newpage
",7-7Exam-Similarity.tex,9
868,65,"\newpage
",5-7DNQ_Regents-dilation.tex,9
1748,127,"\newpage
",8-12bDN_Compound-volume.tex,9
1657,117,"\newpage
",7-7bExam-Similarity.tex,9
1659,117,"\newpage
",7-7bExam-Similarity.tex,9
1682,118,"\newpage
",7-8DN_Exam-followup.tex,9
