,course,chapter,topic,ccss_ID
0,algebra1,"numbers, operations and properties",Modeling Expressions,6.EE.A.2
1,algebra1,"numbers, operations and properties",Order of Operations,6.EE.A.2
2,algebra1,"numbers, operations and properties",Evaluating Expressions,6.EE.A.2
3,algebra1,"numbers, operations and properties",Comparing Reals,8.NS.A.2
4,algebra1,"numbers, operations and properties",Classifying Numbers,8.NS.A.1
5,algebra1,"numbers, operations and properties",Identifying Properties,A.REI.A.1
6,algebra1,"numbers, operations and properties",Set Theory,S.CP.A.1
7,algebra1,graphs and statistics,Average Known with Missing Data,6.SP.B.5
8,algebra1,graphs and statistics,Central Tendency and Dispersion,6.SP.B.5
9,algebra1,graphs and statistics,Central Tendency and Dispersion,S.ID.A.2
10,algebra1,graphs and statistics,Central Tendency and Dispersion,S.ID.A.3
11,algebra1,graphs and statistics,Frequency Tables,S.ID.B.5
12,algebra1,graphs and statistics,Frequency Histograms,S.ID.A.1
13,algebra1,graphs and statistics,Box Plots,S.ID.A.1
14,algebra1,graphs and statistics,Dot Plots,S.ID.A.1
15,algebra1,graphs and statistics,Stem-and-Leaf Plots,S.ID.A.1
16,algebra1,graphs and statistics,Circle Graphs,S.ID.A.1
17,algebra1,graphs and statistics,Scatter Plots,S.ID.B.6
18,algebra1,graphs and statistics,Analysis of Data,S.ID.C.9
19,algebra1,graphs and statistics,Regression,S.ID.B.6
20,algebra1,graphs and statistics,Correlation Coefficient,S.ID.C.8
21,algebra1,graphs and statistics,Residuals,S.ID.B.6
22,algebra1,expressions and equations,Dependent and Independent Variables,A.SSE.A.1
23,algebra1,expressions and equations,Modeling Expressions,A.SSE.A.1
24,algebra1,expressions and equations,Solving Linear Equations,A.REI.B.3
25,algebra1,expressions and equations,Direct Variation,A.CED.A.1
26,algebra1,expressions and equations,Modeling Linear Equations,A.CED.A.1
27,algebra1,expressions and equations,Modeling Linear Equations,A.CED.A.2
28,algebra1,expressions and equations,Modeling Linear Equations,A.CED.A.3
29,algebra1,expressions and equations,Transforming Formulas,A.CED.A.4
30,algebra1,rate,Percents,7.RP.A.3
31,algebra1,rate,Error,7.RP.A.3
32,algebra1,rate,Conversions,N.Q.A.1
33,algebra1,rate,Using Rate,N.Q.A.2
34,algebra1,rate,Speed,A.CED.A.2
35,algebra1,rate,Rate of Change,F.IF.B.6
36,algebra1,linear equations,Modeling Linear Functions,F.BF.A.1
37,algebra1,linear equations,Modeling Linear Functions,F.LE.A.2
